name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Dallas, TX, United States",2020-04-12,79.8,48.6,69.8,79.8,41.3,69.5,57.4,67.5,0.42,100,29.17,rain,0,0,40,22.7,282.7,1001.3,53,8.7,228,19.6,8,,2020-04-12T07:00:27,2020-04-12T19:55:37,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KLNC,D7484,KDAL,72259903971,KRBD,AN483,72258013960,72214353975"
"Dallas, TX, United States",2020-04-13,57.2,40.5,48.7,57.2,32.6,44.9,30.9,50.8,0,0,0,,0,0,33.7,20.1,4.9,1020.1,38.8,9.9,283.7,24.5,9,,2020-04-13T06:59:14,2020-04-13T19:56:20,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KLNC,D7484,KDAL,72259903971,KRBD,AN483,72258013960,72214353975"
"Dallas, TX, United States",2020-04-14,56.2,44,49.9,56.2,38.8,47.4,32,50.2,0,0,0,,0,0,23,13.2,10.1,1023.9,67.1,9.9,231.8,20.1,7,,2020-04-14T06:58:01,2020-04-14T19:57:04,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLNC,D7484,KDAL,72259903971,KRBD,AN483,AN484,72258013960,72214353975"
"Dallas, TX, United States",2020-04-15,65.4,40.9,52.5,65.4,39,51.9,35.7,55.5,0,0,0,,0,0,,8.7,66.8,1021.9,11.6,9.9,279.9,24.3,9,,2020-04-15T06:56:49,2020-04-15T19:57:47,0.75,Clear,Clear conditions throughout the day.,clear-day,"KLNC,D7484,KDAL,72259903971,KRBD,AN483,72258013960,72214353975"
"Dallas, TX, United States",2020-04-16,73.6,48.6,61.4,73.6,46,61.2,42.2,51,0,0,0,,0,0,30.7,17.2,154.4,1018.4,8.9,9.9,229.9,19.8,9,,2020-04-16T06:55:38,2020-04-16T19:58:30,0.79,Clear,Clear conditions throughout the day.,clear-day,"KLNC,D7484,KDAL,72259903971,AP142,KRBD,AN483,72258013960,72214353975"
"Dallas, TX, United States",2020-04-17,65.7,51.4,58.7,65.7,51.4,58.7,48.9,70.1,0.004,100,4.17,rain,0,0,27.7,17.1,284.8,1017.5,71.4,9.9,60.7,5.4,2,,2020-04-17T06:54:28,2020-04-17T19:59:13,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLNC,D7484,KDAL,72259903971,KRBD,AN483,72258013960,72214353975"
"Dallas, TX, United States",2020-04-18,69.6,43.6,56.8,69.6,42.4,56.3,45.2,66,0,0,0,,0,0,,10.5,97.1,1016.5,56.2,9.9,217.7,18.7,9,,2020-04-18T06:53:18,2020-04-18T19:59:57,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLNC,D7484,KDAL,72259903971,KRBD,AN483,72258013960,72214353975"
